name_product,price_product,sold_product,discount_product,link_product
"Giày Lười Nữ NATIVE AD Jericho
Đã bán 1",1.400.000₫,Đã bán 1,-0%,https://tka.tiki.vn/pixel/pixel?data=Fu23_rIHrRr9QAnGURexYGzfl5ifRh5Bk34A7GuPWTEq4zK0D7DP3uck-YRmscM3lxdahYz5vE9OtM3p_QqYwOnDAtsvBwn-nDnaUe0zziGSUh7QmGSwzXTVGnpMQhQbR6Zac7qwW9JxDNAZV2TctL3e1RdU4LExVbwSrzJ2K4yvUYLcFPSGIceYsTknVO--DynHYLpI8nbzM5aSMgREzhNZvUwN5BP7HOS8xj9Kgy0A_i0EqNpQEd8TXZlQsnNAtg-S0cwvB8FLfMKowk1wF7uJvaFIKy0tCBVyjJx7-vvBeNZ3p7RGEc5_Ls5iSXkJGdFrgLO0zaAUGZeHHWYINITuYyAq6X33LIhpQXPYyKxWm6Lml2Fts3bmqik2HIxjVIs5nUQCoumGsNA5J4Q99mkz7zfMw1j3xjKM6zddQJQWYziHWzLBDLcrp6-lDuoJ9b3YFvEiX8D9zU4LOG90LqoYoNjPZnO2czGzny4Pur9WFNgyI6fdmtI8iVI_Fi0WCvFsfjR-QeE3QrYMEzwVCm16lEppIPwV3zpYM2ZF32WZPH7kO54NHxN84JGiQ_tjpvxmCjKfmq6PHvWp7Sbbsn--GW7YYbpFBGLUszQS19avxuihDWTs8Wyvw0NOqULMhLFSMESkkejSpxXhf-ispYqxnALinsY-mKOdH3Qeh78tDEBZLa0VaqG8-fb7Ys9jW9DrzHhogvyr9OBCwOKX2dJOmkfoqpkDsxOd7iY03vWL8K4GYl04a_NfHzN64Un2nk1u5ksXp07_FceGnOy9fVhOAUB7fwLb-VyQw6eOamCqQE5BOth5-Mbem7eNeZw7Gy5ogRd3Q7ZdrHOzWoqK7ZlN8RKIcAA_RNvwVsvLjNFehDCgo3zdQRB5xw_G0fEA8jH4HxTSw0FHvwMW9vdxkDTZbdhlrtIUpEA5mpxVyRGwyA4k5U8JGbZo1G1JtOLiYSB1NcgehOQGe1yuHrpzLwVHxX9O6k7bTE12s-g5X9AIMsOLoyKhnjmeIhw0cXe_CkvcAva3t91VXN2QHsGCFuQruC4-IBrK8NeVy7tCbm1NlaQTxrqPojgf4OvPB4wg6PzumdS-YOZ9dp3ssksyLAAhrGIbRv6JUl1g1Uyzhak&reqid=Y4wBydCLt5ecc418&type=CLICK&pos=1
Giày loafer nữ kiểu dáng trẻ trung,414.000₫,,-0%,https://tka.tiki.vn/pixel/pixel?data=GwP2ku5y70XVCRIMgHYYqrbJ_XcHz93a3u76uhxjaO8TjaoJWMi7UaWnsoskqNlc_j9xXD0zMKje_AIKTg_hgXi8faPgtFu2yJalnxZ1ctCIEooKstUofclbGXMChzOMnQAv9VvzxVLdUkkBH_uwLi56qXBg7Gda1CR4Z5Q9R2TI7xUn8vH5eU6AA1l2BI0MN5O4EQbpWAyoIHnjxVpZZf14LVvKpZz60VdpuK__JPmDfvhb_PI4WpS2zKHHaFcwjKLGu8VTPuaOm6JuuvuEJPpU3SMIbxB5ICGyCX_kZrgBUr1xljCjellT06p8Rf3iiNi7yfm31NJ-duqSk4zo8iU4LcMSiEyQTqub5u0Ljyt1RXO3V5q1SNjDhy8vzzcK20daBWtvo3DndugBooeQDWoabyIVA0zC6_6gTlOCnsDJg9Anx4JR93Wwao5HM_tfP36GngRdnj4-xKx5QPbqU1Ycfrns7upFfm9qPxDgWQVvCcYa1UHJQqHpbEAKWgmyl_SsVt8LD6GYqTxvKiyPpkq7YjTATdVj55iQifWgi3Jid83DtQTfydAHbclWMVAd7whnxN6NbWAKlJN8G0InLzdr9I_e5DgHeC-ErBIDwfQAUrhx2PNYqze8fL4MXNeDY5RfaIDTxFI1AQzXe9WcH0TJaPJDJdw00XP-yMiy52mC0bEOz7apj6rj8K5lZ3S0fQM6DX4quEuFv9pKwGcVHfileL2I_2MZN05rmhhXIfZlybQby46L_X8icbLsdkTwtcK0g6cJjB_9StauCS8dMh5dj1lsNr-qwTSVZ1ALneh_pFrYvSJGLPkF47UeptzjX8U6_d5tCfOWZ6zOu56hpM_oZHTK1U2UFtmw1GWMa8ze0GPqq4vZ5ghTaSKeNyp0mHBHGZG7aTJQk99E0CkPvaVp9Ba19BOoIvGFNuKQK0-uzcPrmN04rk2HJyrssXDvaCMVSEXWM9h06J1y0L3f_2MJublHoQ6qwkyJpeeJdooeSIXw_-eyfmFcrvZUsLcm2HI43C_xgv_3zdbRZzQ2Gu6x4Ws6zwA6J2ccbZmmmEbMY2VqfsOrbhlUckpu9LD8Etp1BJyZnhBYBRjaOOb0F3nSMJ18MAyATgflkgjTSlRPfLKB3yU&reqid=Y4wBydCLt5ecc418&type=CLICK&pos=2
Giày lười nữ da bò đế bệt khóa ngang Trường Hải nhiều màu GM123V,246.000₫,,-14%,https://tka.tiki.vn/pixel/pixel?data=8LcqajpUqBVxBN5lyyeZgUVeFWDl4boD_c616-e8NO-kuUhfwGeyt7NCNQhifuiQHZ5ABoY4QpZxRY8_xBVW84e8piQ_EjQ9TVphF62Zwkaef9yHvQ8IP0HdVZ0mjjx_QnjTMG-AjvoVZFqmavHGj6h37dqFIVoGKF2vdJZGSn3Ou95FyU6CaZD-LdHaD5EvIbFG7tOnOaJNG8QaEeddQKXPfcqizJY_6iqvBTG7CxO_bZQPsdA4sGDXLOSb-ZeYFtRmrekTKuqMsgvRhSg_eIa9E557D6YqxFtR891QXBobNV4NUfhlFHGQU-g1rY92CSDOGbeGtIIhz25YXFWLX7dUnxuZJsB7UyeI2vVj2iPT_H_9GX0j7UzWD1T4FOaPyYSNTZ72io1KrTG5e7r0_CIYm_gwOZYZYSYcAtM6y022yhukrOxNlwRXueX6HFR9yODuufqgUcvwcauFyP2MR9rt6VOG_JmqV4uyVcA91NA4pWkSt6-KYpSDJaCGlwQXODAqejyy4K5e8qnGZEW5uUt-9U5aWTd57JwNYYoKs5fkwlTM5-IpnqliX97dumJZbgaslllKICea5n3b7cKdCQruyH4eBt4He1okbbqlAbO7r7cAW2bPTCTBzpgRdeqW0zpgbpKLk5XsNHa-qrSsjotY50UDYBikuVm7wMRg6dCk32WrAjpmoySoktcSkrVbuNbpLk_ikPWSIukyfGpyYckC3YjYLB8e6bOPUetL3cSmKKTfuiGQkXSuoho-ysA0pLt4LOeGq4rgcb4fEOXBgbG1AqU6azHIrajjlKLGppFGWlqNblUN9fC6LQPgw6UNThUoR1bct074RbPuuPujSG94zwRo3whX3ASEa050_jY02krp5JNcZ1WF9M4WSez9AvMe2N_y4tcGDRsQCI30gzJl1EX4-10MKGlACaSMdCOW5DNdWe44IvLlAaTwpmlJyvPdENMvZKS4QGvbE6nutf-5CuanYl9vMfJhMfjQZirxZ3emEEJV-WKPJM77TJ-gjTztCYl36CZe34LeI_9mDHCoU8OJWN_AQImoNnoZGUIv2-c2b2T957m1m6qX5n_CeRtV2Yey2yVt_B1ggWPWH6GLGKHK4HLzrZvnisrBu0hzwTtkGutRzKsVCmc4Fg&reqid=Y4wBydCLt5ecc418&type=CLICK&pos=3
Giày loafer nữ fashion,404.000₫,,-0%,https://tka.tiki.vn/pixel/pixel?data=_Jp2UtBvY8gcxCJUJDe1r6RhfMj_NPu7UHrSZeh1pacMTl5cdfLHK3mFvpHAgSQ9gGasFbyqGBz1PlHTb9yaVxHBZVbvy0TSV5sK3MLZPFNOIcDrTYRSn1G2zytDqCgc24eT4RIW2o0LvoaHV1qgAGqohmGAVBA6sQUJ9mv90itOBXNlFE-M5C7xs1XL7eYKxZPPZRjMrNteKR5Kq-HVtkk1PsdkxCu28iVvOUbYvRzGRY_L21vCINuohifSwBPJAIx_aJmeCekcDbwMKVYr3YiWyNaW8QYCqr7HIEcndN2tK6dt4ZqI4fNZ1lkGlxpOcUXQZUQRiaYlbpLdnAIOaVRdNf7J1yEObe60mL1WwqcCxL2VGmhWUcRLnSn67YlvYjBz8kmMGY9BYgcYXEI8BxnZKyundlh9lcRChcacHJJduTYLYTA8ilptF8jIgbMKBmgDXZous-ZVV67s6PkfRAgTRN1UvUXdF2P0WQUTZy30z74W-B19tZ58gkZPUYBuyUCat5mg3U8kALZBGUziY8ExpidAJGG5wpfVBFTeGQNIFJpRgcscHLvlvf5GHU0WMBtekJqcsADyX5ThOCOFgAwehSsPMXM6UOqJFxssHxGZ2-V7wKmz-kiBXzOiPOUCiL0VBKo2bOyzWSLRYSD23UA_4hh1EK_VF8A0qPGCZeye6GDDL-9YE4emE1PRI33Jt-2CgH_93CQ8EadaEEumpbyfVl-CsTKM8rX51dQ06IneV1DRwIMHJHyWXiukx5yGTw7ZHvq6GIMtvt0jsFpXUyC4a8UWgYZYSK7ahA-3pclLzFZTyLVNicjAU9UIx2JJ2CoQQA9EhYOPwRuyncHUownhu0bE62Yg_8cgWfgqLcgEOWBjMFaW4rTaRI2QVEmcMl7X5it9lfBJJPgTruW_lmYjVGQ5lIU7Pe-8x_sE90JdplMqmj64Abp5iSqK9Uw0dqyaFpp7sPJLtFXqPxzgW3qTrUbmgHCTPLyYrVkndOeS1YDNQn8ZFf4BdaS49Pvz7c9oLMmgn0MLfQjw9UKajALaybxVwkd3gxndwOFW2Cdu-6jLlDeOTHWaGsMY7nrcAVR9YgPD66uszlJPyMmMTXICUbhZexCRJxA&reqid=Y4wBydCLt5ecc418&type=CLICK&pos=4
Giày lười nữ da bò mềm thời trang cao cấp Trường Hải,273.000₫,,-9%,https://tka.tiki.vn/pixel/pixel?data=S_HGb3j0H2Ksc_KPrNi2BW1SsOAapsmBhXgr4xs1X3u_kf49j11GGZFmjoVSBhsc5SUAQ8m1O0wD2OHr0RktEOcpUZM3tfojmJYdIVzG62N-AOnP_4SpdIsYaETeBYhAN9utKgfH5EsdgM9MoEgz3Q1udLUUZhiQbI1npbuJMC0G9jqXefKhBUULMnBpkxq8170HuFEpU8I3UGqyLof2OdWE1DWvaVHG-dd8KFbXR3y2GgoMPRQmTCdAAT6XzT-x6ZIVktyEWGsPhcInEKb784Bi_zysr2w_sUjE5jnLH-ZnlZqdyE5SEQw82EMndwiwtsOYznrSGcMTgK_LDXYFhVUX5VlObQNnDz6J2JifeQdo_OOc2kWykU2eGOlLgqa-yUO48hiyLAF2Owf3CA6wRvf8MFeebUQnxln4dySsjrHqI5Save0OVv7TOEEbk0E1KOCiGEl2jJpED5tASQRqeO_KGV00Dlo0AHblV8OjLfuDAiaxPg8lAkUw1POpOYMChA6OdOkzN7HztMWX2jIZFY4N9ksAVB2Wd0Ys2FSxQzKv4AB9mLVFTH6ZDa--gy2hF6Hy8Tl93gzs1Jw58TOK-AoehuX8PV_MnhYSJe-YSDmeMyGrRtkbGn63MACn7-e7zrdk0rqn7SF9UChtWsZo_IjF9dNjMV5Wtd9mVn34IOHklLQvEc-YbcAzhjRuzmJYz4cs0KXpfTkbSBOgH4RwFNFIRVBgrbYIjSswPmv4m7P_KijNQgkK_0bruVQ1IHxCSe36BeVhp6TUEnMnV3OLxc5oRNdkt8lTSSlPI6SrGrqwOxDRB_JeUOq0gTUnGLTCN49CysTIyIKB14ugee9wDFzedRpdG0u1UWoT7oj9pIc7DLC2ew25Qwgo54I2TRPGPaM_L6jbY1xFpN3URt6rlLmwUFh1escIwiP-zw6IaRFAVORMOzJe1X1473dI1u3pWT5V2fl2RHmgsM1paaNkGHqQsQfhuuQ8bfm9Kh6Cijtxz0-isvcTmEbotfsF9CNBsc2DzIYOsnkkiEkuuQ3S0w1EYJp-DYiRJF0d_jP24JO1oh46Hl-EEoH7q0yEHgK3Y1Ys7Jtysv6ctRIjDvf2teIucuMfG6x49SHangYen2ocRg&reqid=Y4wBydCLt5ecc418&type=CLICK&pos=5
"Giày Lười Unisex NATIVE Jefferson Block - Bone White/ Soy Beige/ Folio Mountain Block - 37.5
Đã bán 2",1.690.000₫,Đã bán 2,-0%,https://tiki.vn/giay-luoi-unisex-native-jefferson-block-p252266501.html?spid=252266507
"Giày lười vải nữ caro êm chân thời trang mới nhất V299
Đã bán 17",69.000₫,Đã bán 17,-0%,https://tiki.vn/giay-luoi-vai-nu-caro-em-chan-thoi-trang-moi-nhat-v299-p169436463.html?spid=169436475
"Giày mọi lười nữ da thật cao cấp êm mềm ôm chân đế bệt đi học đi chơi Misho 1060
Đã bán 3",350.000₫,Đã bán 3,-0%,https://tiki.vn/giay-moi-luoi-nu-da-that-cao-cap-em-mem-om-chan-de-bet-di-hoc-di-choi-misho-1060-p184101307.html?spid=184101331
"Giày nữ giày lười vải đế cao su mềm cao 2p
Đã bán 3",139.000₫,Đã bán 3,-7%,https://tiki.vn/giay-nu-giay-luoi-vai-de-cao-su-mem-cao-2p-p193878434.html?spid=193878448
"Giày Lười Da Nữ Đế Độn Nữ Phong Cách
Đã bán 81",215.000₫,Đã bán 81,-0%,https://tiki.vn/giay-luoi-da-nu-de-don-nu-phong-cach-p76826323.html?spid=76826337
